ILCE_UAVT,ILCE_ADI,ADI,ALT_KATEGORI,ADRES,TELEFON,WEBSITESI,ACIL_SERVIS,YATAK,AMBULANS,MAHALLE,ENLEM,BOYLAM
2005,BAHÇELİEVLER,Diş Hekimi Nazan Eray,Muayenehane,Adnan Kahveci Bulvarı No:56 BAHÇELİEVLER/BAHÇELİEVLER,0212 441 30 67,,,,,BAHÇELİEVLER,41.001514701000076,28.862298354000075
1421,KADIKÖY,SBÜ Erenköy Ruh ve Sinir Hastalıkları EAH Piskoterapi Merkezi,Özel Tanı Tedavi Merkezleri,Gürsoylu Sk. No: 19 MAYIS/KADIKÖY,0216 302 59 59,www.erenkoyftr.gov.tr,,0,,19 MAYIS,40.97505863900005,29.08735275400005
1186,BEYOĞLU,İBÜ Avrupa Florence Nightingale Hastanesi Araştırma ve Uygulama Merkezi Bedii Gorbon Kanser Merkezi,Üniversite Hastanesi,Ayni Alibaba Sk. No:1A BEDRETTİN/BEYOĞLU,0212 361 88 00,www.istanbulbilim.edu.tr,Yok,28,Var,BEDRETTİN,41.02897765300003,28.970738716000028
1421,KADIKÖY,Özel Dentistanbul Kozyatağı (KOZA),Özel Ağız Diş Sağlığı Merkezleri,Halk Sk. No:29 SAHRAYICEDİT/KADIKÖY,0216 358 08 08,www.dentistanbul.com.tr,,,,SAHRAYICEDİT,40.983852616000036,29.090189401000032
2005,BAHÇELİEVLER,Kocasinan Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Göl Sk. No:1/1 YENİBOSNA MERKEZ/BAHÇELİEVLER,0212 657 15 15,,Yok,0,,YENİBOSNA MERKEZ,41.01475520500003,28.83556562900003
1708,ÜSKÜDAR,Birlik Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Namazgah Cad. No:44 MEHMET AKİF ERSOY/ÜSKÜDAR,0216 422 19 67,,Yok,0,,MEHMET AKİF ERSOY,41.046210461000044,29.07567057400007
1421,KADIKÖY,Kadıköy 7 Nolu Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Tellikavak Sk. No:10 ERENKÖY/KADIKÖY,0216 302 50 00,,Yok,0,,ERENKÖY,40.97086458200005,29.079233285000043
2053,ESENYURT,Mehmet Remzi Önecek Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,1408. Sk. No:21 ÇINAR/ESENYURT,0212 596 45 31,,Yok,0,,ÇINAR,41.04064495100005,28.671355148000032
1421,KADIKÖY,Fener Optik,Optik,Dr. Faruk Ayanoğlu Cad. No:1 FENERBAHÇE/KADIKÖY,0216 385 53 37,,,,,FENERBAHÇE,40.976598773000035,29.047902944000043
1835,PENDİK,Marmara Üniversitesi Pendik Eğitim ve Araştırma Hastanesi,Eğitim Araştırma Hastanesi,Muhsin Yazıcıoğlu Cad. No:10 FEVZİ ÇAKMAK/PENDİK,0216 625 45 45,www.marmaraeah.gov.tr,Var,647,Yok,FEVZİ ÇAKMAK,40.88604776900007,29.262699608000048
2049,ATAŞEHİR,Box Optik,Optik,Sedef Cad. No:25 ATATÜRK/ATAŞEHİR,0216 456 92 69,,,,,ATATÜRK,40.992425698000034,29.12479774700006
2016,ESENLER,Özel Esenler Diş Protez Laboratuvarı,Diş Laboratuvarı,845. Sk. No:9 BİRLİK/ESENLER,0212 659 54 01,,,,,BİRLİK,41.050506244000076,28.873493738000036
2005,BAHÇELİEVLER,Bahçelievler Devlet Hastanesi,Devlet Hastanesi,Ordu Cad. No:1-7 KOCASİNAN MERKEZ/BAHÇELİEVLER,0212 496 70 00,www.bahcelievlerdh.saglik.gov.tr,Var,198,Var,KOCASİNAN MERKEZ,41.00604881400005,28.844556754000052
1823,KÜÇÜKÇEKMECE,Mehmet Akif Ersoy Göğüs Kalp Damar Cerrahisi ve Eğitim Araştırma Hastanesi,Eğitim Araştırma Hastanesi,Turgut Özal Bulvarı No:11/2 İSTASYON/KÜÇÜKÇEKMECE,0212 692 20 00 - 0212 548 48 64,www.imaeh.gov.tr,Var,260,Var,İSTASYON,41.03377446500008,28.77764049900003
2005,BAHÇELİEVLER,Bahçelievler 6 Nolu Acil Yardım İstasyonu,Acil Yardım İstasyonu,Prof. Dr. M.Nevzat Pisak Cad. No:4/21 YENİBOSNA MERKEZ/BAHÇELİEVLER,0212 503 24 83,www.istanbulsaglik.gov.tr,Yok,3,Var,YENİBOSNA MERKEZ,41.02027544400005,28.820086885000023
2004,BAĞCILAR,Bağcılar Merkez Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,706. Sk. No:20 MERKEZ/BAĞCILAR,0212 462 42 02,,Yok,0,,MERKEZ,41.03197937200008,28.86043992900005
2016,ESENLER,Birlik Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,791. Sk. No:4 BİRLİK/ESENLER,0212 432 08 09,,Yok,0,,BİRLİK,41.04935479100004,28.867510864000053
2005,BAHÇELİEVLER,Diş Hekimi Cüneyt Evirgen,Muayenehane,Neyire Neyir Sk. No:35 BAHÇELİEVLER/BAHÇELİEVLER,0532 433 26 84,,,,,BAHÇELİEVLER,41.001168000000064,28.870933000000036
2005,BAHÇELİEVLER,Diş Hekimi Filiz Kavuşturan,Muayenehane,Yıldırım Beyazıt Cad. No:2 FEVZİ ÇAKMAK/BAHÇELİEVLER,0212 452 92 94,,,,,FEVZİ ÇAKMAK,40.99935500000004,28.834271000000058
2049,ATAŞEHİR,Uçar Optik,Optik,Kayışdağı Cad. No:58 İÇERENKÖY/ATAŞEHİR,0216 577 78 79,,,,,İÇERENKÖY,40.97850804300003,29.114739150000048
1186,BEYOĞLU,Özel Mavi Polikliniği,Poliklinik Özel,Yıldırım Beyazıt Sk. No:3 PİYALEPAŞA/BEYOĞLU,0212 256 35 65 - 237 42 92,,Yok,0,,PİYALEPAŞA,41.052450297000064,28.96026359500007
1421,KADIKÖY,Pets Veteriner Merkezi,Veteriner,Rüştiye Sk. No:4/1 ZÜHTÜPAŞA/KADIKÖY,0216 347 03 25,www.pets.com.tr,,0,Yok,ZÜHTÜPAŞA,40.98307917900007,29.03960637800003
1739,ZEYTİNBURNU,Özel Sante Plus Hastanesi,Özel Hastane,Prof. Dr. Turan Güneş Cad. No:4 ÇIRPICI/ZEYTİNBURNU,0212 664 65 55,www.santeplus.com.tr,Var,78,Var,ÇIRPICI,40.99845397400003,28.894278968000037
1708,ÜSKÜDAR,Pazarbaşı Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Şahbulut Sk. No:12 VALİDE-İ ATİK/ÜSKÜDAR,0216 495 98 98,,Yok,0,,VALİDE-İ ATİK,41.018669817000045,29.031092904000047
1421,KADIKÖY,İstanbul Medeniyet Üniversitesi Göztepe Eğitim ve Araştırma Hastanesi Hemodiyaliz ve Periton Merkezi,Diyaliz Merkezi,Fahrettin Kerim Gökay Cad. No:161/4 EĞİTİM/KADIKÖY,0216 566 40 00,www.sbgoztepehastanesi.gov.tr,Var,,Var,EĞİTİM,40.98614857000007,29.056858912000052
1663,ŞİŞLİ,Özel Şişli Ekinci Teşhis Polikliniği,Poliklinik Özel,Abide-i Hürriyet Cad. No:187 MERKEZ/ŞİŞLİ,0212 241 68 11,www.ekincipoliklinigi.com,Yok,0,,MERKEZ,41.063438500000075,28.987533615000075
1186,BEYOĞLU,Piyalepaşa Ağaçlaraltı Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Piyale Havuzu Sk. No:1 KAPTANPAŞA/BEYOĞLU,0212 238 27 17,,Yok,0,,KAPTANPAŞA,41.045182673000056,28.96387814900004
2053,ESENYURT,Esenyurt Açsap Merkezi Ana Çocuk Sağlığı ve Aile Planlama Merkezi,Ana Çocuk Sağlığı ve Aile Planlama Merkezi,1131. Sk. No:1 BAĞLARÇEŞME/ESENYURT,0212 620 35 45,www.istanbulhalksagligi.gov.tr,Yok,0,,BAĞLARÇEŞME,41.03929238300003,28.677134739000053
1810,KAĞITHANE,Hamidiye Semt Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Arife Sk. No:4 HAMİDİYE/KAĞITHANE,0212 294 98 22,,Yok,0,,HAMİDİYE,41.091734571000075,28.977864683000064
1823,KÜÇÜKÇEKMECE,Özel Sefa-Dent Ağız ve Diş Sağlığı Polikliniği,Özel Ağız Diş Sağlığı Merkezleri,Sultan Murat Cad. No:115 SULTAN MURAT/KÜÇÜKÇEKMECE,0212 592 09 89,,,,,SULTAN MURAT,41.00233244100008,28.788094305000072
1663,ŞİŞLİ,Kurtuluş Veteriner Kliniği,Veteriner,Kurtuluş Cad. No:46 DUATEPE/ŞİŞLİ,0212 225 98 57,,,0,Yok,DUATEPE,41.051307895000036,28.983236404000024
2005,BAHÇELİEVLER,Hekimbaşı Ömer Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Mustafa Kemalpaşa Cad. No:101/1 SOĞANLI/BAHÇELİEVLER,0212 555 04 64,,Yok,0,,SOĞANLI,41.011022181000044,28.85546561600006
2005,BAHÇELİEVLER,Diş Hekimi Mustafa Pekmezci,Muayenehane,Adnan Kahveci Bulvarı No:75 BAHÇELİEVLER/BAHÇELİEVLER,0212 442 11 72,,,,,BAHÇELİEVLER,41.00264168800004,28.865071088000036
1852,ÜMRANİYE,Mahmut Karaca Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Krizantem Sk. No:2 İSTİKLAL/ÜMRANİYE,0216 335 40 30,,Yok,0,,İSTİKLAL,41.01554322100003,29.10029738700007
1823,KÜÇÜKÇEKMECE,Özel Dental Corner Ağız ve Diş Sağlığı Polikliniği,Özel Ağız Diş Sağlığı Merkezleri,Turgut Özal Bulvarı No:24 ATAKENT/KÜÇÜKÇEKMECE,0212 678 45 55,,,,,ATAKENT,41.03534070100005,28.767269646000045
1852,ÜMRANİYE,Özel Dişçim Ağız ve Diş Sağlığı Merkezi,Özel Ağız Diş Sağlığı Merkezleri,Alemdağ Cad. No:5/1 ATATÜRK/ÜMRANİYE,0216 443 40 10,,,,,ATATÜRK,41.02440082800007,29.084885781000025
2015,TUZLA,İçmeler Şehit Yüksel Taşpınar Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Seyit Onbaşı Cad. No:28 İÇMELER/TUZLA,0216 507 17 91,,Yok,0,,İÇMELER,40.84762326800006,29.304867948000037
2016,ESENLER,Ferhatpaşa Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Mehmetçik Sk. No:55 YAVUZ SELİM/ESENLER,0212 562 25 29,,Yok,0,,YAVUZ SELİM,41.03540416300007,28.89321232800006
1852,ÜMRANİYE,İmes Dudullu 2 Nolu Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,OSB E 506. Sk. No:1 ESENŞEHİR/ÜMRANİYE,0216 364 33 43,,Yok,0,,ESENŞEHİR,41.00151622200008,29.160752022000054
1663,ŞİŞLİ,Diş Hekimi Gamze Kütahyalı Parmaksız,Muayenehane,Abide-i Hürriyet Cad. No:46 MERKEZ/ŞİŞLİ,0212 291 69 70,,,,,MERKEZ,41.056669903000056,28.985689660000048
1708,ÜSKÜDAR,Üsküdar Verem Savaş Dispanseri,Verem Savaş Dispanseri,Bestekar Selahattin Pınar Sk. No:17 SALACAK/ÜSKÜDAR,0216 553 13 02,www.istveremsavder.org,,0,Yok,SALACAK,41.01800407400003,29.01193072800004
2049,ATAŞEHİR,Esatpaşa Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Hacıbekir Cad. No:42 ESATPAŞA/ATAŞEHİR,0216 324 99 88,,Yok,0,,ESATPAŞA,41.00258510300006,29.08652989500007
1823,KÜÇÜKÇEKMECE,Diş Hekimi Fevzi Atasoy,Muayenehane,Güray Sk. No:1 SULTAN MURAT/KÜÇÜKÇEKMECE,0212 541 65 09,,,,,SULTAN MURAT,41.002213090000055,28.787731612000073
1810,KAĞITHANE,Talatpaşa Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Zeybek Sk. No: TALATPAŞA/KAĞITHANE,0212 220 81 18,,Yok,0,,TALATPAŞA,41.062384112000075,28.961273944000027
1663,ŞİŞLİ,Diş Hekimi Zühre Okkalı,Muayenehane,Cebel Topu Sk. No:5 İNÖNÜ/ŞİŞLİ,0212 247 35 15,,,,,İNÖNÜ,41.04560732500005,28.985781770000074
1327,FATİH,Fatih 10 Nolu Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Sofalı Çeşme Cad. No:98 KARAGÜMRÜK/FATİH,0212 635 37 97,,Yok,0,,KARAGÜMRÜK,41.02387058700003,28.93543104400004
1421,KADIKÖY,Özel Biruni Laboratuvarı Acıbadem,Laboratuvar Özel,Acıbadem Cad. No:109 ACIBADEM/KADIKÖY,0216 545 72 72,www.biruni.com.tr,,,,ACIBADEM,41.005057306000026,29.045086817000026
1327,FATİH,Özel Hekimoğlu Görüntülemeve Tanı Merkezi,Görüntüleme Merkezi Özel,Turgut Özal Millet Cad. No:71 ŞEHREMİNİ/FATİH,0212 632 10 59 - 60,www.hekimoglugoruntuleme.com,,,,ŞEHREMİNİ,41.01211766600005,28.938719869000067
2003,AVCILAR,Yeşilkent 2 Nolu Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Birlik Cad. No:2 YEŞİLKENT/AVCILAR,0212 596 49 14,,Yok,0,,YEŞİLKENT,41.038456017000044,28.70144158000005
2005,BAHÇELİEVLER,Özel Betatom Emar Görüntüleme ve Tanı Merkezi,Görüntüleme Merkezi Özel,İzzettin Çalışlar Cad. No:40 BAHÇELİEVLER/BAHÇELİEVLER,0212 557 76 98,www.betatom.com.tr,,,,BAHÇELİEVLER,41.00077525900008,28.87022994800003
1183,BEŞİKTAŞ,Özel Levent Ege Polikliniği,Poliklinik Özel,Aytar Cad. No:21 NİSBETİYE/BEŞİKTAŞ,0212 325 40 46,www.egepolestetik.com,Yok,0,,NİSBETİYE,41.07522639000007,29.018351336000023
1183,BEŞİKTAŞ,Sinanpaşa Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Sinanpaşa Köprüsü Sk. No:13 SİNANPAŞA/BEŞİKTAŞ,0212 258 58 37,,Yok,0,,SİNANPAŞA,41.04288377900008,29.00301027000006
1336,GAZİOSMANPAŞA,Özel Dentista Ağız ve Diş Sağlığı Polikliniği,Özel Ağız Diş Sağlığı Merkezleri,Aralık Sk. No:122B SARIGÖL/GAZİOSMANPAŞA,0212 417 18 48,www.dentistadis.com,,0,,SARIGÖL,41.057831183000076,28.92028082400003
1708,ÜSKÜDAR,Özel Kaanmed Tıbbi Tahlil Laboratuvarı,Laboratuvar Özel,Cömert Sk. No:4 KISIKLI/ÜSKÜDAR,0216 523 31 70,www.toksilab.com,,,,KISIKLI,41.02307918100007,29.072079509000048
1183,BEŞİKTAŞ,Özel Nöropsikiyatri Sağlık Uygulama ve Araştırma Merkezi Etiler Polikliniği,Poliklinik Özel,Nisbetiye Cad. No:19 LEVENT/BEŞİKTAŞ,0212 270 12 92,www.npistanbul.com,Yok,0,,LEVENT,41.076327486000025,29.020235730000024
1336,GAZİOSMANPAŞA,Şükriye Kaan Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,General Aldoğan Cad. No:76A KARADENİZ/GAZİOSMANPAŞA,0212 618 03 08,,Yok,0,,KARADENİZ,41.07984300000004,28.88708500000007
1336,GAZİOSMANPAŞA,Kaan Optik,Optik,621. Sk. No:11A KARAYOLLARI/GAZİOSMANPAŞA,0212 538 58 68,,,,,KARAYOLLARI,41.087201924000055,28.897517254000036
1183,BEŞİKTAŞ,Özel Wonderdent Ağız ve Diş Sağlığı Polikliniği,Özel Ağız Diş Sağlığı Merkezleri,Selvili Sk. No:5 KONAKLAR/BEŞİKTAŞ,0212 280 16 16,www.wonderdent.com,,,,KONAKLAR,41.08645152100007,29.008341388000076
1336,GAZİOSMANPAŞA,Gaziosmanpaşa Toplum Sağlığı Merkezi,Toplum Sağlığı Merkezi,Abdi İpekçi Cad. KARAYOLLARI/GAZİOSMANPAŞA,0212 618 03 16,www.istanbulhalksagligi.gov.tr,,,Yok,KARAYOLLARI,41.08593022000008,28.90544438300003
1336,GAZİOSMANPAŞA,Uğur Optik,Optik,537. Sk. No:4 C YENİ MAHALLE/GAZİOSMANPAŞA,0212 538 98 00,,,,,YENİ MAHALLE,41.07369157800008,28.903700189000062
1183,BEŞİKTAŞ,Dog Cat Veteriner Kliniği,Veteriner,Manolya Sk. No:6 BEBEK/BEŞİKTAŞ,0532 254 83 06,,,0,Yok,BEBEK,41.07756972300007,29.042844755000033
1336,GAZİOSMANPAŞA,Melisa Optik,Optik,İstanbul Cad. No:93 FEVZİ ÇAKMAK/GAZİOSMANPAŞA,0212 479 85 34,,,,,FEVZİ ÇAKMAK,41.07004497600008,28.90739671700004
1183,BEŞİKTAŞ,Beşiktaş Veteriner Kliniği,Veteriner,Mısırlıbahçe Sk. No:10 TÜRKALİ/BEŞİKTAŞ,0212 259 31 88,,,0,Yok,TÜRKALİ,41.04497383300003,29.002450001000057
1166,BAKIRKÖY,Özel Acıbadem Hastanesi Bakırköy,Özel Hastane,Halit Ziya Uşaklıgil Cad. No:1 ZEYTİNLİK/BAKIRKÖY,0212 414 44 44,www.acibadem.com.tr,Var,102,Var,ZEYTİNLİK,40.977644465000026,28.87272931600006
1739,ZEYTİNBURNU,Özel Yedikule Nöropsikiyatri Tıp Merkezi,Tıp Merkezi Özel,Balıklı Kazlıçeşme Yolu Sk. No:63A TELSİZ/ZEYTİNBURNU,0212 510 74 10,www.yedikulepsikiyatrimerkezim.com,Yok,,Var,TELSİZ,40.99955926000007,28.91563711200007
2004,BAĞCILAR,Özel Dolunay Sağlık Hizmetleri,Sağlık Kabini Özel,Güngören Cad. No:4 MERKEZ/BAĞCILAR,0212 461 70 73 - 0212 461 90 77,www.hamdikalyoncu.com,,,,MERKEZ,41.033088347000046,28.86332027800006
2005,BAHÇELİEVLER,Diş Hekimi Mehmet Takunyacı,Muayenehane,Ferit Selimpaşa Cad. No:9A SİYAVUŞPAŞA/BAHÇELİEVLER,0212 441 23 32,,,,,SİYAVUŞPAŞA,41.00185780900006,28.860085867000066
2012,MALTEPE,Diş Hekimi Ulaş Kar,Muayenehane,Eski Üsküdar Cad. No:51B GÜLSUYU/MALTEPE,0216 427 44 77,,,,,GÜLSUYU,40.92789916300006,29.158459054000048
2014,SULTANBEYLİ,Altıntepe Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Fedai Sk. No:2 BATTALGAZİ/SULTANBEYLİ,0216 592 77 74,,Yok,0,,BATTALGAZİ,40.98472251600003,29.27852265200005
2014,SULTANBEYLİ,Özel Aydosdiş Ağız ve Diş Sağlığı Merkezi,Özel Ağız Diş Sağlığı Merkezleri,Cihan Cad. No:31 ORHANGAZİ/SULTANBEYLİ,0216 487 28 10,www.aydosdis.com,,,,ORHANGAZİ,40.938203599000076,29.28570043900004
2048,ARNAVUTKÖY,Arnavutköy Devlet Hastanesi Hadımköy Semt Polikliniği,Poliklinik,Çarşamba Sk. No:3 HADIMKÖY/ARNAVUTKÖY,0212 771 13 34,www.arnavutkoydh.gov.tr,Yok,0,,HADIMKÖY,41.15631985400006,28.624864942000045
2012,MALTEPE,Özel Cebeci Dental Diş Laboratuvarı,Diş Laboratuvarı,Beşevler Sk. No:7 BAĞLARBAŞI/MALTEPE,0216 399 90 80,,,,,BAĞLARBAŞI,40.92525786500005,29.132383048000065
2012,MALTEPE,Maltepe 22 Nolu Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Servet Sk. FINDIKLI/MALTEPE,0216 574 02 07,,Yok,0,,FINDIKLI,40.964422196000044,29.12130936500006
2055,SULTANGAZİ,Özel Gazi Hastanesi,Özel Hastane,1406. Sk. No:27 YUNUS EMRE/SULTANGAZİ,0212 650 18 19,www.gazihastanesi.com.tr,Var,29,Var,YUNUS EMRE,41.10103116200003,28.89866197300006
2055,SULTANGAZİ,Kaan Optik,Optik,Orhan Gazi Cad. No:82 50. YIL/SULTANGAZİ,0212 594 39 59,,,,,50. YIL,41.09236509200008,28.87027875700005
2055,SULTANGAZİ,Yayla Asef Çoban Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Yayla Bulvarı No:71A YAYLA/SULTANGAZİ,0212 595 21 24,,Yok,0,,YAYLA,41.148487732000035,28.852089772000056
2012,MALTEPE,Maltepe Belediye Başkanlığı Ek Hizmet Binası Polikliniği,Poliklinik,Hendek Çıkmazı FEYZULLAH/MALTEPE,0216 388 09 59,,Yok,0,,FEYZULLAH,40.93498618600006,29.122849188000032
2014,SULTANBEYLİ,Ali Mehmet Ceylan Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Kandıra Sk. No:23 AKŞEMSETTİN/SULTANBEYLİ,0216 487 61 64,,Yok,0,,AKŞEMSETTİN,40.94854908600007,29.29838194900003
2054,SANCAKTEPE,Osmangazi Taşpınar Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Karayağız Sk. No:55 OSMANGAZİ/SANCAKTEPE,0216 561 09 09,,Yok,0,,OSMANGAZİ,40.991151900000034,29.245779311000035
1336,GAZİOSMANPAŞA,Diş Hekimi Derya Öznam,Muayenehane,1034. Sk. No:34A BARBAROS HAYRETTİN PAŞA/GAZİOSMANPAŞA,0212 537 99 74,,,,,BARBAROS HAYRETTİN PAŞA,41.07488862300005,28.888386639000032
1336,GAZİOSMANPAŞA,Özel Naturadent Ağız ve Diş Sağlığı Polikliniği,Özel Ağız Diş Sağlığı Merkezleri,Eski Edirne Asfaltı No:11 HÜRRİYET/GAZİOSMANPAŞA,0212 535 95 30,www.naturaldent.com.tr,,,,HÜRRİYET,41.06267496900006,28.901991217000045
1336,GAZİOSMANPAŞA,Net Optik,Optik,Morlale Sk. No:51 MERKEZ/GAZİOSMANPAŞA,0212 578 06 08,,,,,MERKEZ,41.05900355700004,28.907906861000072
1166,BAKIRKÖY,Özel Bilson Radyoloji Merkezi,Özel Tanı Tedavi Merkezleri,Yüce Tarla Cad. No:29 ZUHURATBABA/BAKIRKÖY,0212 660 38 80,www.bilsonm.com,,0,,ZUHURATBABA,40.986094294000054,28.868412015000047
2005,BAHÇELİEVLER,Soğanlı Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Habib Özhan Sk. No:12A SOĞANLI/BAHÇELİEVLER,0212 555 34 34,,Yok,0,,SOĞANLI,41.008574269000064,28.848423296000078
2003,AVCILAR,Denizköşkler Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Muhtar Kazım Akgül Cad. No:36 DENİZKÖŞKLER/AVCILAR,0212 509 33 92,,Yok,0,,DENİZKÖŞKLER,40.977195006000045,28.738183985000035
2005,BAHÇELİEVLER,Aydın Üniversitesi Ağız ve Diş Sağlığı Merkezi,Üniversite Hastanesi,İzzettin Çalışlar Cad. No:2 BAHÇELİEVLER/BAHÇELİEVLER,444 83 47,www.dentaydin.com,Yok,0,Yok,BAHÇELİEVLER,41.001714098000036,28.87099381200005
2005,BAHÇELİEVLER,Diş Hekimi Salman Temtek,Muayenehane,Öner Sk. No:1 SOĞANLI/BAHÇELİEVLER,0212 642 70 20,,,,,SOĞANLI,41.007460139000045,28.849322162000078
1166,BAKIRKÖY,Özel Atriyum Kardiyoloji Merkezi,Poliklinik Özel,Bildik Sk. No:8 OSMANİYE/BAKIRKÖY,0212 660 05 00,,Yok,3,,OSMANİYE,40.99242666300006,28.88121549600004
1663,ŞİŞLİ,Şişli 15 Nolu Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Erdem Sk. No:3 YAYLA/ŞİŞLİ,0212 230 82 34,,Yok,0,,YAYLA,41.05027697000003,28.97804578000006
1823,KÜÇÜKÇEKMECE,Biruni Üniversitesi Tıp Fakültesi Hastanesi,Üniversite Hastanesi,Eski Londra Asfaltı Bulvarı No:10 BEŞYOL/KÜÇÜKÇEKMECE,0212 411 39 00,www.birunihastanesi.com.tr,Var,,Var,BEŞYOL,40.98875245200003,28.796307256000034
1421,KADIKÖY,2D Ortopedi,Medikal,Bostan Tariki Sk. No:120 BOSTANCI/KADIKÖY,0216 380 20 44,,,,,BOSTANCI,40.95675332500008,29.098128209000038
2053,ESENYURT,Esenyurt Verem Savaş Dispanseri,Verem Savaş Dispanseri,1131. Sk. No:1/2 BAĞLARÇEŞME/ESENYURT,0212 450 18 92,,,0,Yok,BAĞLARÇEŞME,41.038909199000045,28.676444563000075
1708,ÜSKÜDAR,Yunus Emre Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Mehmet Akif Ersoy Cad. No:41 KİRAZLITEPE/ÜSKÜDAR,0216 321 95 61,,Yok,0,,KİRAZLITEPE,41.03852558300008,29.058078773000034
1421,KADIKÖY,Kadıköy 12 Nolu Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Merdivenköy Cad. No:25 MERDİVENKÖY/KADIKÖY,0216 565 21 91,,Yok,0,,MERDİVENKÖY,40.987652128000036,29.06438289600004
1823,KÜÇÜKÇEKMECE,Özel Aras Kadın Hastalıkları Merkezi,Kadın Hastalıkları ve Sağlığı Merkezi Özel,Reyhan Cad. No:2A YEŞİLOVA/KÜÇÜKÇEKMECE,0212 540 77 41 - 0212 425 45 40,,,0,,YEŞİLOVA,40.99275873000005,28.785327600000073
1708,ÜSKÜDAR,İBB Evde Sağlık Hizmetleri,Evde Bakım Merkezleri,Dr. Burhanettin Üstünel Sk. No:2/2 ZEYNEP KAMİL/ÜSKÜDAR,0216 486 56 40,www.ibb.gov.tr,,0,Yok,ZEYNEP KAMİL,41.013855885000055,29.024449170000025
1421,KADIKÖY,Özel Dent Avrasya Ağız ve Diş Sağlığı Polikliniği,Özel Ağız Diş Sağlığı Merkezleri,Şemsettin Günaltay Cad. No:49 SUADİYE/KADIKÖY,0216 362 77 77,www.dentavrasya.com,,,,SUADİYE,40.96206134400006,29.091495231000067
1421,KADIKÖY,Bnc Veteriner Kliniği,Veteriner,Oral Sk. No:15 19 MAYIS/KADIKÖY,0216 380 03 83,,,0,Yok,19 MAYIS,40.96769553000007,29.087852825000027
2049,ATAŞEHİR,Özel Allianoi Ağız ve Diş Sağlığı Polikliniği,Özel Ağız Diş Sağlığı Merkezleri,Efe Sk. No:7 KÜÇÜKBAKKALKÖY/ATAŞEHİR,0216 576 40 40,www.allianoi.com,,,,KÜÇÜKBAKKALKÖY,40.986930794000045,29.11073086300007
2005,BAHÇELİEVLER,Dr. Fevzi Özgönül Muayenehanesi,Muayenehane,Neyire Neyir Sk. No:19 BAHÇELİEVLER/BAHÇELİEVLER,0212 553 35 02 - 0533 206 23 66,www.drfevziozgonul.com,,,,BAHÇELİEVLER,41.00060913600004,28.874938405000023
2005,BAHÇELİEVLER,Altınyıldız Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Okul 2 Sk. No:27 YENİBOSNA MERKEZ/BAHÇELİEVLER,0212 551 20 00,,Yok,0,,YENİBOSNA MERKEZ,41.00702557000005,28.820242019000034
2005,BAHÇELİEVLER,Özel Uçar Ağız ve Diş Sağlığı Polikliniği,Özel Ağız Diş Sağlığı Merkezleri,Mimar Sinan Cad. No:1A SOĞANLI/BAHÇELİEVLER,0212 556 67 82,,,,,SOĞANLI,41.01427519300006,28.85651398300007
2003,AVCILAR,Firuzköy Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Hasan Önel Cad. No:51/2A FİRUZKÖY/AVCILAR,0212 690 15 85,,Yok,0,,FİRUZKÖY,41.009062533000076,28.710499801000026
1336,GAZİOSMANPAŞA,Fatma Bıyıklı Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Namık Kemal Cad. No:38 KARADENİZ/GAZİOSMANPAŞA,0212 618 03 85,,Yok,0,,KARADENİZ,41.07823851000006,28.880752013000063
