ILCE_UAVT,ILCE_ADI,ADI,ALT_KATEGORI,ADRES,TELEFON,WEBSITESI,ACIL_SERVIS,YATAK,AMBULANS,MAHALLE,ENLEM,BOYLAM
1327,FATİH,Türk Kızılayı Fatih Şubesi,Kızılay,Kıztaşı Cad. No:23 İSKENDERPAŞA/FATİH,0212 635 72 72,www.kizilay.org.tr,,,Yok,İSKENDERPAŞA,41.01614603100006,28.950806443000033
1327,FATİH,İstanbul Üniversitesi Mediko Sosyal Merkezi,Poliklinik,Süleymaniye Cad. No:15 SÜLEYMANİYE/FATİH,0212 440 00 36,www.istanbulhalksagligi.gov.tr,Var,0,,SÜLEYMANİYE,41.01420995700005,28.96192372400003
1327,FATİH,İBB Fatih Hayvan Hastanesi,Veteriner,Su Yolu Sk. No:1 ZEYREK/FATİH,0212 45 373 71,www.ibb.gov.tr,,0,Yok,ZEYREK,41.016744440000025,28.95371646800004
1327,FATİH,Demir Medikal,Medikal,Bekarbey Sk. No:28 AKSARAY/FATİH,,,,,,AKSARAY,41.00512297100005,28.94339993400007
1622,SİLİVRİ,Silivri Ana Çocuk Sağlığı ve Aile Planlama Merkezi,Ana Çocuk Sağlığı ve Aile Planlama Merkezi,Gün Sk. No:7 MİMAR SİNAN/SİLİVRİ,0212 727 22 03,www.istanbulhalksagligi.gov.tr,Yok,0,,MİMAR SİNAN,41.08763881300007,28.243108652000046
1237,ÇATALCA,İhsaniye Zehra Akdoğan Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Sağlık Ocağı Cad. No:1 İHSANİYE/ÇATALCA,0212 782 17 33,,Yok,0,,İHSANİYE,41.25199050500004,28.365041446000077
1604,SARIYER,Bahçeköy Veteriner Kliniği,Veteriner,Mareşal Fevzi Çakmak Cad. No:4 KEMER/SARIYER,0212 226 26 74,www.bahcekoyvet.com,,0,Yok,BAHÇEKÖY KEMER,41.16950234900003,28.99076315700006
1604,SARIYER,Özel Büyükdere Kadın Hastalıkları Merkezi,Kadın Hastalıkları ve Sağlığı Merkezi Özel,Çayırbaşı Cad. No:95 BÜYÜKDERE/SARIYER,0212 242 32 89,,,3,,BÜYÜKDERE,41.15920616000005,29.038530257000048
1237,ÇATALCA,Uzmanlar Veteriner Kliniği,Veteriner,Atatürk Cad. No:32 FERHATPAŞA/ÇATALCA,0212 787 23 20,,,0,Yok,FERHATPAŞA,41.140741708000064,28.463822709000056
1604,SARIYER,PTT Evleri Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Camii.. Sk. No:17/1 PTT EVLERİ/SARIYER,0212 271 34 95,,Yok,0,,PTT EVLERİ,41.15566516100006,29.023059388000036
1622,SİLİVRİ,Silivri 5 Nolu Cezaevi Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Çanta Cad. No:162C SEMİZKUMLAR/SİLİVRİ,0212 726 00 32,,Yok,0,,SEMİZKUMLAR,41.08706288500008,28.14920465000006
1604,SARIYER,Özel Denta Vita Ağız ve Diş Sağlığı Polikliniği,Özel Ağız Diş Sağlığı Merkezleri,Meserburnu Cad. No:105 MERKEZ/SARIYER,0212 242 12 24,www.dentavita.com,,,,SARIYER MERKEZ,41.16734782200007,29.05711268400006
1421,KADIKÖY,Aktif İnter Optik,Optik,Halitağa Cad. No:34 RASİMPAŞA/KADIKÖY,0216 550 08 75,,,,,RASİMPAŞA,40.99253972100007,29.029830782000033
1823,KÜÇÜKÇEKMECE,Happy Vet Veteriner Kliniği,Veteriner,Kırlangıç Sk. No:6 ATAKENT/KÜÇÜKÇEKMECE,0212 693 33 22,www.happyvetveteriner.com,,0,Yok,ATAKENT,41.057053652000036,28.78646913500006
1421,KADIKÖY,Anaconda Veteriner Kliniği,Veteriner,Atatürk Cad. No:34 SAHRAYICEDİT/KADIKÖY,0216 360 36 06,www.anakondavet.com,,0,Yok,SAHRAYICEDİT,40.98110536400003,29.082053736000034
1823,KÜÇÜKÇEKMECE,Zeynebiye Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Zeynebiye Cad. No:26 HALKALI MERKEZ/KÜÇÜKÇEKMECE,0212 548 22 82,,Yok,0,,HALKALI MERKEZ,41.03391342500004,28.80325556400004
1421,KADIKÖY,Sahil Veteriner Hizmetleri,Veteriner,Hamiyet Yüceses Sk. No:4 SUADİYE/KADIKÖY,0216 355 10 46,www.sahilveteriner.net,,0,Yok,SUADİYE,40.96107223800004,29.07600820300007
1186,BEYOĞLU,Özel Universal Hospital Grup İtalyan Giovanni Alberto Agnelli Hastanesi,Özel Hastane,Defterdar Yokuşu No:17 FİRUZAĞA/BEYOĞLU,0212 292 35 01,www.uhg.com.tr,Var,,Var,FİRUZAĞA,41.02878151800007,28.981433079000055
2015,TUZLA,Tuzla Merkez Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,İstasyon Cad. No:71 POSTANE/TUZLA,0216 395 23 30,,Var,5,,POSTANE,40.82119848900004,29.30831433700007
1659,ŞİLE,Şile Ana Çocuk Sağlığı ve Aile Planlama Merkezi,Ana Çocuk Sağlığı ve Aile Planlama Merkezi,Ayazma Cad. ÇAVUŞ/ŞİLE,0216 712 12 67,www.istanbulhalksagligi.gov.tr,,,Yok,ÇAVUŞ,41.17327560200005,29.607081359000063
1449,KARTAL,Kartal Koşuyolu Yüksek İhtisas Eğitim ve Araştırma Hastanesi,Eğitim Araştırma Hastanesi,Lütfi Kırdar Cad. No: CEVİZLİ/KARTAL,0216 500 15 00,www.kosuyolu.gov.tr,Var,465,Yok,CEVİZLİ,40.91582445900008,29.171704356000077
1663,ŞİŞLİ,Özel İac İstanbul Aesthetic Tıp Merkezi,Tıp Merkezi Özel,Keskin Kalem Sk. No:1 ESENTEPE/ŞİŞLİ,0212 211 24 00,www.istanbulaestheticcenter.com,Var,8,Yok,ESENTEPE,41.06918643200004,29.00658198800005
2048,ARNAVUTKÖY,Özel Boğazköy Şifa Sağlık Evi,Sağlık Evi,Okul Yolu Sk. No:85 YUNUS EMRE/ARNAVUTKÖY,0212 684 00 09,,,,,YUNUS EMRE,41.18492590100004,28.760444834000054
1622,SİLİVRİ,Büyük Çavuşlu Dr. Atakan Karanfil Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Güven Sk. No:55 BÜYÜK ÇAVUŞLU/SİLİVRİ,0212 741 68 98,,Yok,0,,BÜYÜK ÇAVUŞLU,41.239097549000064,28.064357518000065
1604,SARIYER,75. Yıl Kilyos Kumköy Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Kale Cad. No:5 KUMKÖY/SARIYER,0212 201 24 26,,Yok,0,,KUMKÖY (KİLYOS),41.245656534000034,29.03703060500004
1327,FATİH,Çapa Anıl Medikal,Medikal,Börekçi Veli Sk. No:24 ŞEHREMİNİ/FATİH,0212 585 61 98,,,,,ŞEHREMİNİ,41.01515005200008,28.932174348000046
1327,FATİH,İstanbul Üniversitesi Tıp Fakültesi Cerrahi Tıp Bilimleri,Poliklinik,Turgut Özal Millet Cad. No:118R TOPKAPI/FATİH,0212 414 20 00 - 0212 414 30 00,http://istanbultip.istanbul.edu.tr,Yok,750,,TOPKAPI,41.017235792000065,28.93443848800007
1622,SİLİVRİ,Silivri 2 Nolu Cezaevi Aile Sağlığı Merkezi,Aile Sağlığı Merkezi,Çanta Cad. No:162B SEMİZKUMLAR/SİLİVRİ,0212 726 00 57,,Yok,0,,SEMİZKUMLAR,41.08633577100005,28.15317974100003
1604,SARIYER,Genel Cerrah Op. Dr. Mehmet Bayraktar,Muayenehane,Yeni Mahalle Cad. No:9 MERKEZ/SARIYER,0532 234 67 80,,,,,SARIYER MERKEZ,41.16834661400003,29.057081139000047
1604,SARIYER,Sarıyer Ağız ve Diş Sağlığı Merkezi,Ağız ve Diş Sağlığı Merkezi,Araba Yolu Cad. No:33 CUMHURİYET/SARIYER,0212 328 35 35,,Yok,0,,CUMHURİYET,41.144826730000034,29.031494768000073
1622,SİLİVRİ,Özgün Yaşlı Bakımevi,Bakım Evi,Çelebi Sk. No:5 YENİ/SİLİVRİ,0212 731 66 30,www.ozgunyaslibakimmerkezi.com,,54,Yok,YENİ,41.078491761000066,28.25653343500005
1622,SİLİVRİ,Silivri Devlet Hastanesi Selimpaşa Ek Hizmet Binası,Devlet Hastanesi,202. Cad. No:6 SELİMPAŞA/SİLİVRİ,0212 731 88 08,www.silivridh.saglik.gov.tr,Var,35,Var,SELİMPAŞA,41.05433252000006,28.37936053800007
1604,SARIYER,İstinye Devlet Hastanesi Diyaliz Merkezi,Diyaliz Merkezi,Doktor Nurettin Cankat Sk. No:54 İSTİNYE/SARIYER,0212 277 49 12 - 0212 323 44 44,www.idh.gov.tr,Var,,Var,İSTİNYE,41.114882796000074,29.055491351000057
1327,FATİH,Özel Çapadent Ağız ve Diş Sağlığı Polikliniği,Özel Ağız Diş Sağlığı Merkezleri,Turgut Özal Millet Cad. No:135 ŞEHREMİNİ/FATİH,0212 587 71 71,www.capadent.net,,,,ŞEHREMİNİ,41.01530084600006,28.932564154000033
1327,FATİH,İstanbul Haseki Eğitim ve Araştırma Hastanesi 29 Mayıs Ek Hizmet Binası,Eğitim Araştırma Hastanesi,29 Mayıs Sk. No:3 HIRKA-İ ŞERİF/FATİH,0212 533 34 61 - 68,www.hasekieah.saglik.gov.tr,Var,125,Yok,HIRKA-İ ŞERİF,41.02046470000005,28.937513955000043
